tstamp	bike	bikeCity	active	repair	missed	comments	description	bc_serial	real_battery	last_communication	last_communication_sim	last_communication_reason	last_rental_changed	last_rental	place_name	lat	lng	lastLat	lastLng	accuracy	location_type
2025-11-15 11:03	410010	408	0	1	0	"tapa lateral de cajetin del casco rota.  28/01/25 le quitamos IoT para otra patineta y comprobamos que esta tiene luz del. fundida y pantalla tampoco enciende. El IoT que le dejamos colocado no pasa de 6 km/h."	""	10000141646	3552	"2025-03-11 20:05:31"	"2025-03-11 20:05:31"	"HEARTBEAT"	1707735315	1707735315	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410009	408	0	0	0	"No engancha la batería, se queda totalmente suelta."	""	10000131951	3552	"2025-02-25 17:01:24"	"2025-02-19 12:49:36"	"HEARTBEAT"	1704022832	1704022832	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410008	408	0	1	0	"no acelera"	""	10000132103	3552	"2025-03-15 23:57:37"	"2025-03-15 23:57:37"	"HEARTBEAT"	1739619925	1739619924	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410007	408	0	0	0	""	""	10000136022	3552	"2025-02-25 03:30:12"	"2025-02-25 03:30:12"	"HEARTBEAT"	1739198352	1739198352	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410006	408	0	0	0	""	""	10000138240	3552	"2025-05-28 16:10:06"	"2025-05-28 16:10:06"	"HEARTBEAT"	1745251427	1745251427	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410005	408	0	1	0	"La patineta no detecta la carga de la bateria aun teniendo cien por cien de carga."	"el conector del ordenador esta mal,comprobar tarjeta"	10000156609		"2025-02-25 12:17:18"			1696538895	1696538895	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410004	408	0	1	0	"da tirones y no coge velocidad"	""	10000155152	3552	"2025-04-11 16:21:28"	"2025-04-11 16:21:28"	"HEARTBEAT"	1741778540	1741778540	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410003	408	0	0	0	"18/12/2024: el IoT no responde ni en esta ni en otras patinetas. La patineta no manda corriente al IoT. Otros ordenadores tampoco logran hacer funcionar nada en la patineta."	""	10000128214	3552	"2025-02-27 12:36:35"	"2025-02-27 12:36:35"	"HEARTBEAT"	1732808167	1732808167	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410002	408	0	0	0	""	""	10000136496	3552	"2025-05-25 01:28:51"	"2025-05-25 01:28:51"	"HEARTBEAT"	1745096837	1745096837	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410001	408	0	0	0	""	""	10000138431	3552	"2025-06-10 04:34:48"	"2025-06-10 04:34:48"	"HEARTBEAT"	1745165645	1745165645	"Patinetas arregladas"	28,146930108263	-15,410985946655				
